co_fips,co_name,state,mcode,mname,inflow2011_12,outflow2011_12,netflow2011_12,inflow2012_13,outflow2012_13,netflow2012_13,inflow2013_14,outflow2013_14,netflow2013_14,inflow2014_15,outflow2014_15,netflow2014_15,inflow2015_16,outflow2015_16,netflow2015_16,inflow2016_17,outflow2016_17,netflow2016_17,inflow2017_18,outflow2017_18,netflow2017_18,tot_inflow,tot_outflow,tot_netflow
02020,"Anchorage Municipality, AK",AK,11260,"Anchorage, AK",130,115,15,103,68,35,0,35,-35,0,0,0,0,0,0,61,0,61,0,0,0,294,218,76
34041,"Warren County, NJ",NJ,10900,"Allentown-Bethlehem-Easton, PA-NJ",130,150,-20,130,155,-25,31,89,-58,23,37,-14,0,79,-79,37,87,-50,31,133,-102,382,730,-348
21111,"Jefferson County, KY",KY,31140,"Louisville/Jefferson County, KY-IN",130,170,-40,141,190,-49,105,148,-43,69,130,-61,162,154,8,170,287,-117,115,184,-69,892,1263,-371
27123,"Ramsey County, MN",MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",130,107,23,123,91,32,85,69,16,68,48,20,82,130,-48,94,153,-59,74,139,-65,656,737,-81
06041,"Marin County, CA",CA,41860,"San Francisco-Oakland-Berkeley, CA",129,168,-39,114,234,-120,121,242,-121,124,186,-62,140,237,-97,155,273,-118,140,180,-40,923,1520,-597
48121,"Denton County, TX",TX,19100,"Dallas-Fort Worth-Arlington, TX",128,154,-26,135,209,-74,124,94,30,68,133,-65,74,255,-181,150,333,-183,108,276,-168,787,1454,-667
50007,"Chittenden County, VT",VT,15540,"Burlington-South Burlington, VT",127,133,-6,127,157,-30,89,108,-19,72,69,3,101,177,-76,110,194,-84,87,124,-37,713,962,-249
51107,"Loudoun County, VA",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",122,193,-71,145,176,-31,142,206,-64,153,126,27,118,179,-61,176,257,-81,154,239,-85,1010,1376,-366
29510,"St. Louis city, MO",MO,41180,"St. Louis, MO-IL",121,98,23,116,117,-1,72,67,5,64,37,27,162,105,57,146,173,-27,120,89,31,801,686,115
26099,"Macomb County, MI",MI,19820,"Detroit-Warren-Dearborn, MI",118,149,-31,114,140,-26,57,86,-29,30,0,30,33,0,33,38,129,-91,70,98,-28,460,602,-142
09007,"Middlesex County, CT",CT,25540,"Hartford-East Hartford-Middletown, CT",117,117,0,105,163,-58,129,139,-10,88,0,88,45,95,-50,145,157,-12,103,150,-47,732,821,-89
25003,"Berkshire County, MA",MA,38340,"Pittsfield, MA",115,167,-52,101,190,-89,98,149,-51,59,82,-23,69,138,-69,115,196,-81,77,237,-160,634,1159,-525
