ccode,cname,mcode,mname,mtype
51153,"Prince William County, VA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
51155,"Pulaski County, VA",13980,"Blacksburg-Christiansburg, VA",Metropolitan Statistical Area
51157,"Rappahannock County, VA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
51161,"Roanoke County, VA",40220,"Roanoke, VA",Metropolitan Statistical Area
51165,"Rockingham County, VA",25500,"Harrisonburg, VA",Metropolitan Statistical Area
51169,"Scott County, VA",28700,"Kingsport-Bristol, TN-VA",Metropolitan Statistical Area
51175,"Southampton County, VA",47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area
51177,"Spotsylvania County, VA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
51179,"Stafford County, VA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
51183,"Sussex County, VA",40060,"Richmond, VA",Metropolitan Statistical Area
51185,"Tazewell County, VA",14140,"Bluefield, WV-VA",Micropolitan Statistical Area
51187,"Warren County, VA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
51191,"Washington County, VA",28700,"Kingsport-Bristol, TN-VA",Metropolitan Statistical Area
51195,"Wise County, VA",13720,"Big Stone Gap, VA",Micropolitan Statistical Area
51199,"York County, VA",47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area
51510,"Alexandria city, VA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
51520,"Bristol city, VA",28700,"Kingsport-Bristol, TN-VA",Metropolitan Statistical Area
51540,"Charlottesville city, VA",16820,"Charlottesville, VA",Metropolitan Statistical Area
51550,"Chesapeake city, VA",47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area
51570,"Colonial Heights city, VA",40060,"Richmond, VA",Metropolitan Statistical Area
51590,"Danville city, VA",19260,"Danville, VA",Micropolitan Statistical Area
51600,"Fairfax city, VA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
51610,"Falls Church city, VA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
51620,"Franklin city, VA",47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area
51630,"Fredericksburg city, VA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
51650,"Hampton city, VA",47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area
51660,"Harrisonburg city, VA",25500,"Harrisonburg, VA",Metropolitan Statistical Area
51670,"Hopewell city, VA",40060,"Richmond, VA",Metropolitan Statistical Area
51680,"Lynchburg city, VA",31340,"Lynchburg, VA",Metropolitan Statistical Area
51683,"Manassas city, VA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
51685,"Manassas Park city, VA",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
51690,"Martinsville city, VA",32300,"Martinsville, VA",Micropolitan Statistical Area
51700,"Newport News city, VA",47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area
51710,"Norfolk city, VA",47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area
51720,"Norton city, VA",13720,"Big Stone Gap, VA",Micropolitan Statistical Area
51730,"Petersburg city, VA",40060,"Richmond, VA",Metropolitan Statistical Area
51735,"Poquoson city, VA",47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area
51740,"Portsmouth city, VA",47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area
51750,"Radford city, VA",13980,"Blacksburg-Christiansburg, VA",Metropolitan Statistical Area
51760,"Richmond city, VA",40060,"Richmond, VA",Metropolitan Statistical Area
51770,"Roanoke city, VA",40220,"Roanoke, VA",Metropolitan Statistical Area
51775,"Salem city, VA",40220,"Roanoke, VA",Metropolitan Statistical Area
51790,"Staunton city, VA",44420,"Staunton, VA",Metropolitan Statistical Area
51800,"Suffolk city, VA",47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area
51810,"Virginia Beach city, VA",47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area
51820,"Waynesboro city, VA",44420,"Staunton, VA",Metropolitan Statistical Area
51830,"Williamsburg city, VA",47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area
51840,"Winchester city, VA",49020,"Winchester, VA-WV",Metropolitan Statistical Area
53001,"Adams County, WA",36830,"Othello, WA",Micropolitan Statistical Area
53003,"Asotin County, WA",30300,"Lewiston, ID-WA",Metropolitan Statistical Area
53005,"Benton County, WA",28420,"Kennewick-Richland, WA",Metropolitan Statistical Area
53007,"Chelan County, WA",48300,"Wenatchee, WA",Metropolitan Statistical Area
53009,"Clallam County, WA",38820,"Port Angeles, WA",Micropolitan Statistical Area
53011,"Clark County, WA",38900,"Portland-Vancouver-Hillsboro, OR-WA",Metropolitan Statistical Area
53015,"Cowlitz County, WA",31020,"Longview, WA",Metropolitan Statistical Area
53017,"Douglas County, WA",48300,"Wenatchee, WA",Metropolitan Statistical Area
53021,"Franklin County, WA",28420,"Kennewick-Richland, WA",Metropolitan Statistical Area
53025,"Grant County, WA",34180,"Moses Lake, WA",Micropolitan Statistical Area
53027,"Grays Harbor County, WA",10140,"Aberdeen, WA",Micropolitan Statistical Area
53029,"Island County, WA",36020,"Oak Harbor, WA",Micropolitan Statistical Area
53033,"King County, WA",42660,"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area
53035,"Kitsap County, WA",14740,"Bremerton-Silverdale-Port Orchard, WA",Metropolitan Statistical Area
53037,"Kittitas County, WA",21260,"Ellensburg, WA",Micropolitan Statistical Area
53041,"Lewis County, WA",16500,"Centralia, WA",Micropolitan Statistical Area
53045,"Mason County, WA",43220,"Shelton, WA",Micropolitan Statistical Area
53053,"Pierce County, WA",42660,"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area
53057,"Skagit County, WA",34580,"Mount Vernon-Anacortes, WA",Metropolitan Statistical Area
53059,"Skamania County, WA",38900,"Portland-Vancouver-Hillsboro, OR-WA",Metropolitan Statistical Area
53061,"Snohomish County, WA",42660,"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area
53063,"Spokane County, WA",44060,"Spokane-Spokane Valley, WA",Metropolitan Statistical Area
53065,"Stevens County, WA",44060,"Spokane-Spokane Valley, WA",Metropolitan Statistical Area
53067,"Thurston County, WA",36500,"Olympia-Lacey-Tumwater, WA",Metropolitan Statistical Area
53071,"Walla Walla County, WA",47460,"Walla Walla, WA",Metropolitan Statistical Area
53073,"Whatcom County, WA",13380,"Bellingham, WA",Metropolitan Statistical Area
53075,"Whitman County, WA",39420,"Pullman, WA",Micropolitan Statistical Area
53077,"Yakima County, WA",49420,"Yakima, WA",Metropolitan Statistical Area
54003,"Berkeley County, WV",25180,"Hagerstown-Martinsburg, MD-WV",Metropolitan Statistical Area
54005,"Boone County, WV",16620,"Charleston, WV",Metropolitan Statistical Area
54009,"Brooke County, WV",48260,"Weirton-Steubenville, WV-OH",Metropolitan Statistical Area
54011,"Cabell County, WV",26580,"Huntington-Ashland, WV-KY-OH",Metropolitan Statistical Area
54015,"Clay County, WV",16620,"Charleston, WV",Metropolitan Statistical Area
54017,"Doddridge County, WV",17220,"Clarksburg, WV",Micropolitan Statistical Area
54019,"Fayette County, WV",13220,"Beckley, WV",Metropolitan Statistical Area
54027,"Hampshire County, WV",49020,"Winchester, VA-WV",Metropolitan Statistical Area
54029,"Hancock County, WV",48260,"Weirton-Steubenville, WV-OH",Metropolitan Statistical Area
54033,"Harrison County, WV",17220,"Clarksburg, WV",Micropolitan Statistical Area
54035,"Jackson County, WV",16620,"Charleston, WV",Metropolitan Statistical Area
54037,"Jefferson County, WV",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
54039,"Kanawha County, WV",16620,"Charleston, WV",Metropolitan Statistical Area
54043,"Lincoln County, WV",16620,"Charleston, WV",Metropolitan Statistical Area
54045,"Logan County, WV",34350,"Mount Gay-Shamrock, WV",Micropolitan Statistical Area
