ccode,cname,mcode,mname,mtype
01001,"Autauga County, AL",33860,"Montgomery, AL",Metropolitan Statistical Area
01003,"Baldwin County, AL",19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area
01005,"Barbour County, AL",21640,"Eufaula, AL-GA",Micropolitan Statistical Area
01007,"Bibb County, AL",13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area
01009,"Blount County, AL",13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area
01015,"Calhoun County, AL",11500,"Anniston-Oxford, AL",Metropolitan Statistical Area
01017,"Chambers County, AL",29300,"LaGrange, GA-AL",Micropolitan Statistical Area
01021,"Chilton County, AL",13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area
01031,"Coffee County, AL",21460,"Enterprise, AL",Micropolitan Statistical Area
01033,"Colbert County, AL",22520,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area
01037,"Coosa County, AL",10760,"Alexander City, AL",Micropolitan Statistical Area
01043,"Cullman County, AL",18980,"Cullman, AL",Micropolitan Statistical Area
01045,"Dale County, AL",37120,"Ozark, AL",Micropolitan Statistical Area
01047,"Dallas County, AL",42820,"Selma, AL",Micropolitan Statistical Area
01049,"DeKalb County, AL",22840,"Fort Payne, AL",Micropolitan Statistical Area
01051,"Elmore County, AL",33860,"Montgomery, AL",Metropolitan Statistical Area
01053,"Escambia County, AL",12120,"Atmore, AL",Micropolitan Statistical Area
01055,"Etowah County, AL",23460,"Gadsden, AL",Metropolitan Statistical Area
01061,"Geneva County, AL",20020,"Dothan, AL",Metropolitan Statistical Area
01063,"Greene County, AL",46220,"Tuscaloosa, AL",Metropolitan Statistical Area
01065,"Hale County, AL",46220,"Tuscaloosa, AL",Metropolitan Statistical Area
01067,"Henry County, AL",20020,"Dothan, AL",Metropolitan Statistical Area
01069,"Houston County, AL",20020,"Dothan, AL",Metropolitan Statistical Area
01071,"Jackson County, AL",42460,"Scottsboro, AL",Micropolitan Statistical Area
01073,"Jefferson County, AL",13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area
01077,"Lauderdale County, AL",22520,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area
01079,"Lawrence County, AL",19460,"Decatur, AL",Metropolitan Statistical Area
01081,"Lee County, AL",12220,"Auburn-Opelika, AL",Metropolitan Statistical Area
01083,"Limestone County, AL",26620,"Huntsville, AL",Metropolitan Statistical Area
01085,"Lowndes County, AL",33860,"Montgomery, AL",Metropolitan Statistical Area
01089,"Madison County, AL",26620,"Huntsville, AL",Metropolitan Statistical Area
01095,"Marshall County, AL",10700,"Albertville, AL",Micropolitan Statistical Area
01097,"Mobile County, AL",33660,"Mobile, AL",Metropolitan Statistical Area
01101,"Montgomery County, AL",33860,"Montgomery, AL",Metropolitan Statistical Area
01103,"Morgan County, AL",19460,"Decatur, AL",Metropolitan Statistical Area
01107,"Pickens County, AL",46220,"Tuscaloosa, AL",Metropolitan Statistical Area
01109,"Pike County, AL",45980,"Troy, AL",Micropolitan Statistical Area
01113,"Russell County, AL",17980,"Columbus, GA-AL",Metropolitan Statistical Area
01115,"St. Clair County, AL",13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area
01117,"Shelby County, AL",13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area
01121,"Talladega County, AL",45180,"Talladega-Sylacauga, AL",Micropolitan Statistical Area
01123,"Tallapoosa County, AL",10760,"Alexander City, AL",Micropolitan Statistical Area
01125,"Tuscaloosa County, AL",46220,"Tuscaloosa, AL",Metropolitan Statistical Area
01127,"Walker County, AL",27530,"Jasper, AL",Micropolitan Statistical Area
01129,"Washington County, AL",33660,"Mobile, AL",Metropolitan Statistical Area
02020,"Anchorage Municipality, AK",11260,"Anchorage, AK",Metropolitan Statistical Area
02090,"Fairbanks North Star Borough, AK",21820,"Fairbanks, AK",Metropolitan Statistical Area
02110,"Juneau City and Borough, AK",27940,"Juneau, AK",Micropolitan Statistical Area
02130,"Ketchikan Gateway Borough, AK",28540,"Ketchikan, AK",Micropolitan Statistical Area
02170,"Matanuska-Susitna Borough, AK",11260,"Anchorage, AK",Metropolitan Statistical Area
04003,"Cochise County, AZ",43420,"Sierra Vista-Douglas, AZ",Metropolitan Statistical Area
04005,"Coconino County, AZ",22380,"Flagstaff, AZ",Metropolitan Statistical Area
04007,"Gila County, AZ",37740,"Payson, AZ",Micropolitan Statistical Area
04009,"Graham County, AZ",40940,"Safford, AZ",Micropolitan Statistical Area
04013,"Maricopa County, AZ",38060,"Phoenix-Mesa-Chandler, AZ",Metropolitan Statistical Area
04015,"Mohave County, AZ",29420,"Lake Havasu City-Kingman, AZ",Metropolitan Statistical Area
04017,"Navajo County, AZ",43320,"Show Low, AZ",Micropolitan Statistical Area
04019,"Pima County, AZ",46060,"Tucson, AZ",Metropolitan Statistical Area
04021,"Pinal County, AZ",38060,"Phoenix-Mesa-Chandler, AZ",Metropolitan Statistical Area
04023,"Santa Cruz County, AZ",35700,"Nogales, AZ",Micropolitan Statistical Area
04025,"Yavapai County, AZ",39150,"Prescott Valley-Prescott, AZ",Metropolitan Statistical Area
04027,"Yuma County, AZ",49740,"Yuma, AZ",Metropolitan Statistical Area
05005,"Baxter County, AR",34260,"Mountain Home, AR",Micropolitan Statistical Area
05007,"Benton County, AR",22220,"Fayetteville-Springdale-Rogers, AR",Metropolitan Statistical Area
05009,"Boone County, AR",25460,"Harrison, AR",Micropolitan Statistical Area
05013,"Calhoun County, AR",15780,"Camden, AR",Micropolitan Statistical Area
05019,"Clark County, AR",11660,"Arkadelphia, AR",Micropolitan Statistical Area
05025,"Cleveland County, AR",38220,"Pine Bluff, AR",Metropolitan Statistical Area
05027,"Columbia County, AR",31620,"Magnolia, AR",Micropolitan Statistical Area
05031,"Craighead County, AR",27860,"Jonesboro, AR",Metropolitan Statistical Area
05033,"Crawford County, AR",22900,"Fort Smith, AR-OK",Metropolitan Statistical Area
05035,"Crittenden County, AR",32820,"Memphis, TN-MS-AR",Metropolitan Statistical Area
05045,"Faulkner County, AR",30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area
05047,"Franklin County, AR",22900,"Fort Smith, AR-OK",Metropolitan Statistical Area
05051,"Garland County, AR",26300,"Hot Springs, AR",Metropolitan Statistical Area
05053,"Grant County, AR",30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area
05055,"Greene County, AR",37500,"Paragould, AR",Micropolitan Statistical Area
05057,"Hempstead County, AR",26260,"Hope, AR",Micropolitan Statistical Area
05059,"Hot Spring County, AR",31680,"Malvern, AR",Micropolitan Statistical Area
05063,"Independence County, AR",12900,"Batesville, AR",Micropolitan Statistical Area
05069,"Jefferson County, AR",38220,"Pine Bluff, AR",Metropolitan Statistical Area
05079,"Lincoln County, AR",38220,"Pine Bluff, AR",Metropolitan Statistical Area
05081,"Little River County, AR",45500,"Texarkana, TX-AR",Metropolitan Statistical Area
05085,"Lonoke County, AR",30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area
05087,"Madison County, AR",22220,"Fayetteville-Springdale-Rogers, AR",Metropolitan Statistical Area
05091,"Miller County, AR",45500,"Texarkana, TX-AR",Metropolitan Statistical Area
05093,"Mississippi County, AR",14180,"Blytheville, AR",Micropolitan Statistical Area
05099,"Nevada County, AR",26260,"Hope, AR",Micropolitan Statistical Area
05101,"Newton County, AR",25460,"Harrison, AR",Micropolitan Statistical Area
05103,"Ouachita County, AR",15780,"Camden, AR",Micropolitan Statistical Area
05105,"Perry County, AR",30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area
05107,"Phillips County, AR",25760,"Helena-West Helena, AR",Micropolitan Statistical Area
05111,"Poinsett County, AR",27860,"Jonesboro, AR",Metropolitan Statistical Area
05115,"Pope County, AR",40780,"Russellville, AR",Micropolitan Statistical Area
05119,"Pulaski County, AR",30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area
05123,"St. Francis County, AR",22620,"Forrest City, AR",Micropolitan Statistical Area
05125,"Saline County, AR",30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area
05131,"Sebastian County, AR",22900,"Fort Smith, AR-OK",Metropolitan Statistical Area
05135,"Sharp County, AR",12900,"Batesville, AR",Micropolitan Statistical Area
05139,"Union County, AR",20980,"El Dorado, AR",Micropolitan Statistical Area
05143,"Washington County, AR",22220,"Fayetteville-Springdale-Rogers, AR",Metropolitan Statistical Area
05145,"White County, AR",42620,"Searcy, AR",Micropolitan Statistical Area
05149,"Yell County, AR",40780,"Russellville, AR",Micropolitan Statistical Area
06001,"Alameda County, CA",41860,"San Francisco-Oakland-Berkeley, CA",Metropolitan Statistical Area
06007,"Butte County, CA",17020,"Chico, CA",Metropolitan Statistical Area
06013,"Contra Costa County, CA",41860,"San Francisco-Oakland-Berkeley, CA",Metropolitan Statistical Area
06015,"Del Norte County, CA",18860,"Crescent City, CA",Micropolitan Statistical Area
06017,"El Dorado County, CA",40900,"Sacramento-Roseville-Folsom, CA",Metropolitan Statistical Area
06019,"Fresno County, CA",23420,"Fresno, CA",Metropolitan Statistical Area
06023,"Humboldt County, CA",21700,"Eureka-Arcata, CA",Micropolitan Statistical Area
06025,"Imperial County, CA",20940,"El Centro, CA",Metropolitan Statistical Area
06029,"Kern County, CA",12540,"Bakersfield, CA",Metropolitan Statistical Area
06031,"Kings County, CA",25260,"Hanford-Corcoran, CA",Metropolitan Statistical Area
06033,"Lake County, CA",17340,"Clearlake, CA",Micropolitan Statistical Area
06035,"Lassen County, CA",45000,"Susanville, CA",Micropolitan Statistical Area
06037,"Los Angeles County, CA",31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area
06039,"Madera County, CA",31460,"Madera, CA",Metropolitan Statistical Area
06041,"Marin County, CA",41860,"San Francisco-Oakland-Berkeley, CA",Metropolitan Statistical Area
06045,"Mendocino County, CA",46380,"Ukiah, CA",Micropolitan Statistical Area
06047,"Merced County, CA",32900,"Merced, CA",Metropolitan Statistical Area
06053,"Monterey County, CA",41500,"Salinas, CA",Metropolitan Statistical Area
06055,"Napa County, CA",34900,"Napa, CA",Metropolitan Statistical Area
06057,"Nevada County, CA",46020,"Truckee-Grass Valley, CA",Micropolitan Statistical Area
06059,"Orange County, CA",31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area
06061,"Placer County, CA",40900,"Sacramento-Roseville-Folsom, CA",Metropolitan Statistical Area
06065,"Riverside County, CA",40140,"Riverside-San Bernardino-Ontario, CA",Metropolitan Statistical Area
06067,"Sacramento County, CA",40900,"Sacramento-Roseville-Folsom, CA",Metropolitan Statistical Area
06069,"San Benito County, CA",41940,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan Statistical Area
06071,"San Bernardino County, CA",40140,"Riverside-San Bernardino-Ontario, CA",Metropolitan Statistical Area
06073,"San Diego County, CA",41740,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan Statistical Area
06075,"San Francisco County, CA",41860,"San Francisco-Oakland-Berkeley, CA",Metropolitan Statistical Area
06077,"San Joaquin County, CA",44700,"Stockton, CA",Metropolitan Statistical Area
06079,"San Luis Obispo County, CA",42020,"San Luis Obispo-Paso Robles, CA",Metropolitan Statistical Area
06081,"San Mateo County, CA",41860,"San Francisco-Oakland-Berkeley, CA",Metropolitan Statistical Area
06083,"Santa Barbara County, CA",42200,"Santa Maria-Santa Barbara, CA",Metropolitan Statistical Area
06085,"Santa Clara County, CA",41940,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan Statistical Area
06087,"Santa Cruz County, CA",42100,"Santa Cruz-Watsonville, CA",Metropolitan Statistical Area
06089,"Shasta County, CA",39820,"Redding, CA",Metropolitan Statistical Area
06095,"Solano County, CA",46700,"Vallejo, CA",Metropolitan Statistical Area
06097,"Sonoma County, CA",42220,"Santa Rosa-Petaluma, CA",Metropolitan Statistical Area
06099,"Stanislaus County, CA",33700,"Modesto, CA",Metropolitan Statistical Area
06101,"Sutter County, CA",49700,"Yuba City, CA",Metropolitan Statistical Area
06103,"Tehama County, CA",39780,"Red Bluff, CA",Micropolitan Statistical Area
06107,"Tulare County, CA",47300,"Visalia, CA",Metropolitan Statistical Area
06109,"Tuolumne County, CA",43760,"Sonora, CA",Micropolitan Statistical Area
06111,"Ventura County, CA",37100,"Oxnard-Thousand Oaks-Ventura, CA",Metropolitan Statistical Area
06113,"Yolo County, CA",40900,"Sacramento-Roseville-Folsom, CA",Metropolitan Statistical Area
06115,"Yuba County, CA",49700,"Yuba City, CA",Metropolitan Statistical Area
08001,"Adams County, CO",19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area
08005,"Arapahoe County, CO",19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area
08013,"Boulder County, CO",14500,"Boulder, CO",Metropolitan Statistical Area
08014,"Broomfield County, CO",19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area
08019,"Clear Creek County, CO",19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area
08031,"Denver County, CO",19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area
08035,"Douglas County, CO",19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area
08037,"Eagle County, CO",20780,"Edwards, CO",Micropolitan Statistical Area
08039,"Elbert County, CO",19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area
08041,"El Paso County, CO",17820,"Colorado Springs, CO",Metropolitan Statistical Area
08043,"Fremont County, CO",15860,"Cañon City, CO",Micropolitan Statistical Area
08045,"Garfield County, CO",24060,"Glenwood Springs, CO",Micropolitan Statistical Area
08047,"Gilpin County, CO",19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area
08059,"Jefferson County, CO",19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area
08067,"La Plata County, CO",20420,"Durango, CO",Micropolitan Statistical Area
08069,"Larimer County, CO",22660,"Fort Collins, CO",Metropolitan Statistical Area
08075,"Logan County, CO",44540,"Sterling, CO",Micropolitan Statistical Area
08077,"Mesa County, CO",24300,"Grand Junction, CO",Metropolitan Statistical Area
08081,"Moffat County, CO",18780,"Craig, CO",Micropolitan Statistical Area
08085,"Montrose County, CO",33940,"Montrose, CO",Micropolitan Statistical Area
08087,"Morgan County, CO",22820,"Fort Morgan, CO",Micropolitan Statistical Area
08091,"Ouray County, CO",33940,"Montrose, CO",Micropolitan Statistical Area
08093,"Park County, CO",19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area
08097,"Pitkin County, CO",24060,"Glenwood Springs, CO",Micropolitan Statistical Area
08101,"Pueblo County, CO",39380,"Pueblo, CO",Metropolitan Statistical Area
08107,"Routt County, CO",44460,"Steamboat Springs, CO",Micropolitan Statistical Area
08117,"Summit County, CO",14720,"Breckenridge, CO",Micropolitan Statistical Area
08119,"Teller County, CO",17820,"Colorado Springs, CO",Metropolitan Statistical Area
08123,"Weld County, CO",24540,"Greeley, CO",Metropolitan Statistical Area
09001,"Fairfield County, CT",14860,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area
09003,"Hartford County, CT",25540,"Hartford-East Hartford-Middletown, CT",Metropolitan Statistical Area
09005,"Litchfield County, CT",45860,"Torrington, CT",Micropolitan Statistical Area
09007,"Middlesex County, CT",25540,"Hartford-East Hartford-Middletown, CT",Metropolitan Statistical Area
09009,"New Haven County, CT",35300,"New Haven-Milford, CT",Metropolitan Statistical Area
09011,"New London County, CT",35980,"Norwich-New London, CT",Metropolitan Statistical Area
09013,"Tolland County, CT",25540,"Hartford-East Hartford-Middletown, CT",Metropolitan Statistical Area
09015,"Windham County, CT",49340,"Worcester, MA-CT",Metropolitan Statistical Area
10001,"Kent County, DE",20100,"Dover, DE",Metropolitan Statistical Area
10003,"New Castle County, DE",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area
10005,"Sussex County, DE",41540,"Salisbury, MD-DE",Metropolitan Statistical Area
11001,"District of Columbia, DC",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
12001,"Alachua County, FL",23540,"Gainesville, FL",Metropolitan Statistical Area
12003,"Baker County, FL",27260,"Jacksonville, FL",Metropolitan Statistical Area
12005,"Bay County, FL",37460,"Panama City, FL",Metropolitan Statistical Area
12009,"Brevard County, FL",37340,"Palm Bay-Melbourne-Titusville, FL",Metropolitan Statistical Area
12011,"Broward County, FL",33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan Statistical Area
12015,"Charlotte County, FL",39460,"Punta Gorda, FL",Metropolitan Statistical Area
12017,"Citrus County, FL",26140,"Homosassa Springs, FL",Metropolitan Statistical Area
12019,"Clay County, FL",27260,"Jacksonville, FL",Metropolitan Statistical Area
12021,"Collier County, FL",34940,"Naples-Marco Island, FL",Metropolitan Statistical Area
12023,"Columbia County, FL",29380,"Lake City, FL",Micropolitan Statistical Area
12027,"DeSoto County, FL",11580,"Arcadia, FL",Micropolitan Statistical Area
12031,"Duval County, FL",27260,"Jacksonville, FL",Metropolitan Statistical Area
12033,"Escambia County, FL",37860,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area
12035,"Flagler County, FL",19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area
12039,"Gadsden County, FL",45220,"Tallahassee, FL",Metropolitan Statistical Area
12041,"Gilchrist County, FL",23540,"Gainesville, FL",Metropolitan Statistical Area
12049,"Hardee County, FL",48100,"Wauchula, FL",Micropolitan Statistical Area
12051,"Hendry County, FL",17500,"Clewiston, FL",Micropolitan Statistical Area
12053,"Hernando County, FL",45300,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area
12055,"Highlands County, FL",42700,"Sebring-Avon Park, FL",Metropolitan Statistical Area
12057,"Hillsborough County, FL",45300,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area
12061,"Indian River County, FL",42680,"Sebastian-Vero Beach, FL",Metropolitan Statistical Area
12065,"Jefferson County, FL",45220,"Tallahassee, FL",Metropolitan Statistical Area
12069,"Lake County, FL",36740,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area
12071,"Lee County, FL",15980,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area
12073,"Leon County, FL",45220,"Tallahassee, FL",Metropolitan Statistical Area
12075,"Levy County, FL",23540,"Gainesville, FL",Metropolitan Statistical Area
12081,"Manatee County, FL",35840,"North Port-Sarasota-Bradenton, FL",Metropolitan Statistical Area
12083,"Marion County, FL",36100,"Ocala, FL",Metropolitan Statistical Area
12085,"Martin County, FL",38940,"Port St. Lucie, FL",Metropolitan Statistical Area
12086,"Miami-Dade County, FL",33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan Statistical Area
12087,"Monroe County, FL",28580,"Key West, FL",Micropolitan Statistical Area
12089,"Nassau County, FL",27260,"Jacksonville, FL",Metropolitan Statistical Area
12091,"Okaloosa County, FL",18880,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area
12093,"Okeechobee County, FL",36380,"Okeechobee, FL",Micropolitan Statistical Area
12095,"Orange County, FL",36740,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area
12097,"Osceola County, FL",36740,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area
12099,"Palm Beach County, FL",33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan Statistical Area
12101,"Pasco County, FL",45300,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area
12103,"Pinellas County, FL",45300,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area
12105,"Polk County, FL",29460,"Lakeland-Winter Haven, FL",Metropolitan Statistical Area
12107,"Putnam County, FL",37260,"Palatka, FL",Micropolitan Statistical Area
12109,"St. Johns County, FL",27260,"Jacksonville, FL",Metropolitan Statistical Area
12111,"St. Lucie County, FL",38940,"Port St. Lucie, FL",Metropolitan Statistical Area
12113,"Santa Rosa County, FL",37860,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area
12115,"Sarasota County, FL",35840,"North Port-Sarasota-Bradenton, FL",Metropolitan Statistical Area
12117,"Seminole County, FL",36740,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area
12119,"Sumter County, FL",45540,"The Villages, FL",Metropolitan Statistical Area
12127,"Volusia County, FL",19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area
12129,"Wakulla County, FL",45220,"Tallahassee, FL",Metropolitan Statistical Area
12131,"Walton County, FL",18880,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area
13003,"Atkinson County, GA",20060,"Douglas, GA",Micropolitan Statistical Area
13009,"Baldwin County, GA",33300,"Milledgeville, GA",Micropolitan Statistical Area
13013,"Barrow County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13015,"Bartow County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13017,"Ben Hill County, GA",22340,"Fitzgerald, GA",Micropolitan Statistical Area
13021,"Bibb County, GA",31420,"Macon-Bibb County, GA",Metropolitan Statistical Area
13025,"Brantley County, GA",15260,"Brunswick, GA",Metropolitan Statistical Area
13027,"Brooks County, GA",46660,"Valdosta, GA",Metropolitan Statistical Area
13029,"Bryan County, GA",42340,"Savannah, GA",Metropolitan Statistical Area
13031,"Bulloch County, GA",44340,"Statesboro, GA",Micropolitan Statistical Area
13033,"Burke County, GA",12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area
13035,"Butts County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13039,"Camden County, GA",41220,"St. Marys, GA",Micropolitan Statistical Area
13045,"Carroll County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13047,"Catoosa County, GA",16860,"Chattanooga, TN-GA",Metropolitan Statistical Area
13051,"Chatham County, GA",42340,"Savannah, GA",Metropolitan Statistical Area
13053,"Chattahoochee County, GA",17980,"Columbus, GA-AL",Metropolitan Statistical Area
13055,"Chattooga County, GA",44900,"Summerville, GA",Micropolitan Statistical Area
13057,"Cherokee County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13059,"Clarke County, GA",12020,"Athens-Clarke County, GA",Metropolitan Statistical Area
13063,"Clayton County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13067,"Cobb County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13069,"Coffee County, GA",20060,"Douglas, GA",Micropolitan Statistical Area
13071,"Colquitt County, GA",34220,"Moultrie, GA",Micropolitan Statistical Area
13073,"Columbia County, GA",12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area
13077,"Coweta County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13079,"Crawford County, GA",31420,"Macon-Bibb County, GA",Metropolitan Statistical Area
13081,"Crisp County, GA",18380,"Cordele, GA",Micropolitan Statistical Area
13083,"Dade County, GA",16860,"Chattanooga, TN-GA",Metropolitan Statistical Area
13085,"Dawson County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13087,"Decatur County, GA",12460,"Bainbridge, GA",Micropolitan Statistical Area
13089,"DeKalb County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13095,"Dougherty County, GA",10500,"Albany, GA",Metropolitan Statistical Area
13097,"Douglas County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13101,"Echols County, GA",46660,"Valdosta, GA",Metropolitan Statistical Area
13103,"Effingham County, GA",42340,"Savannah, GA",Metropolitan Statistical Area
13113,"Fayette County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13115,"Floyd County, GA",40660,"Rome, GA",Metropolitan Statistical Area
13117,"Forsyth County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13121,"Fulton County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13127,"Glynn County, GA",15260,"Brunswick, GA",Metropolitan Statistical Area
13129,"Gordon County, GA",15660,"Calhoun, GA",Micropolitan Statistical Area
13135,"Gwinnett County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13137,"Habersham County, GA",18460,"Cornelia, GA",Micropolitan Statistical Area
13139,"Hall County, GA",23580,"Gainesville, GA",Metropolitan Statistical Area
13141,"Hancock County, GA",33300,"Milledgeville, GA",Micropolitan Statistical Area
13143,"Haralson County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13145,"Harris County, GA",17980,"Columbus, GA-AL",Metropolitan Statistical Area
13149,"Heard County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13151,"Henry County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13153,"Houston County, GA",47580,"Warner Robins, GA",Metropolitan Statistical Area
13157,"Jackson County, GA",27600,"Jefferson, GA",Micropolitan Statistical Area
13159,"Jasper County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13167,"Johnson County, GA",20140,"Dublin, GA",Micropolitan Statistical Area
13169,"Jones County, GA",31420,"Macon-Bibb County, GA",Metropolitan Statistical Area
13171,"Lamar County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13173,"Lanier County, GA",46660,"Valdosta, GA",Metropolitan Statistical Area
13175,"Laurens County, GA",20140,"Dublin, GA",Micropolitan Statistical Area
13177,"Lee County, GA",10500,"Albany, GA",Metropolitan Statistical Area
13179,"Liberty County, GA",25980,"Hinesville, GA",Metropolitan Statistical Area
13181,"Lincoln County, GA",12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area
13183,"Long County, GA",25980,"Hinesville, GA",Metropolitan Statistical Area
13185,"Lowndes County, GA",46660,"Valdosta, GA",Metropolitan Statistical Area
13189,"McDuffie County, GA",12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area
13191,"McIntosh County, GA",15260,"Brunswick, GA",Metropolitan Statistical Area
13195,"Madison County, GA",12020,"Athens-Clarke County, GA",Metropolitan Statistical Area
13197,"Marion County, GA",17980,"Columbus, GA-AL",Metropolitan Statistical Area
13199,"Meriwether County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13207,"Monroe County, GA",31420,"Macon-Bibb County, GA",Metropolitan Statistical Area
13209,"Montgomery County, GA",47080,"Vidalia, GA",Micropolitan Statistical Area
13211,"Morgan County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13213,"Murray County, GA",19140,"Dalton, GA",Metropolitan Statistical Area
13215,"Muscogee County, GA",17980,"Columbus, GA-AL",Metropolitan Statistical Area
13217,"Newton County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13219,"Oconee County, GA",12020,"Athens-Clarke County, GA",Metropolitan Statistical Area
13221,"Oglethorpe County, GA",12020,"Athens-Clarke County, GA",Metropolitan Statistical Area
13223,"Paulding County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13225,"Peach County, GA",47580,"Warner Robins, GA",Metropolitan Statistical Area
13227,"Pickens County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13229,"Pierce County, GA",48180,"Waycross, GA",Micropolitan Statistical Area
